!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
HOG1	YLR113W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hog1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CPR6	YLR216C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cpr6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PSY3	YLR376C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: psy3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PSP2	YML017W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: psp2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
USA1	YML029W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: usa1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YMD8	YML038C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ymd8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
FAR3	YMR052W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: far3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUB2	YMR055C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bub2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HLJ1	YMR161W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hlj1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ESC1	YMR219W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: esc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SIW14	YNL032W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: siw14-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CAF40	YNL288W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: caf40-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RIM21	YNL294C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim21-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HRD1	YOL013C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hrd1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PSK2	YOL045W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: psk2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ASE1	YOR058C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ase1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RIM20	YOR275C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim20-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PDR16	YNL231C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: pdr16-Δ	SEY6210	  fluconazole	Details: gradient plate assay 	Gulshan K, et al. (2010) PMID:20016005
YGL081W	YGL081W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ygl081w-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ITC1	YGL133W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: itc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HOS2	YGL194C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hos2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ASK10	YGR097W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ask10-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YGR237C	YGR237C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ygr237c-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
STE20	YHL007C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ste20-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLT2	YHR030C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: slt2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
EMC5	YIL027C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: emc5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RRD1	YIL153W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rrd1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BCK1	YJL095W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bck1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PTK2	YJR059W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ptk2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MLP1	YKR095W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mlp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CLB4	YLR210W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: clb4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
VAC14	YLR386W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vac14-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SRC1	YML034W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: src1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GSF2	YML048W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gsf2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CMP2	YML057W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cmp2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PKR1	YMR123W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pkr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
INP52	YNL106C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: inp52-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
FPR1	YNL135C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: fpr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NPR1	YNL183C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: npr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MID1	YNL291C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mid1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BRE5	YNR051C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bre5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MKK1	YOR231W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mkk1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TPS1	YBR126C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tps1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GET3	YDL100C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: get3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ARF1	YDL192W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: arf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
WHI4	YDL224C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: whi4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBC13	YDR092W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ubc13-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TRS85	YDR108W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: trs85-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GGA1	YDR358W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gga1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SEM1	YDR363W-A	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sem1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PKH1	YDR490C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pkh1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBP3	YER151C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ubp3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NNF2	YGR089W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nnf2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YTA7	YGR270W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: yta7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ELM1	YKL048C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: elm1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RIC1	YLR039C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ric1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SPT8	YLR055C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spt8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ACE2	YLR131C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ace2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RSA3	YLR221C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rsa3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
VRP1	YLR337C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vrp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
AGP1	YCL025C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: agp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HBT1	YDL223C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hbt1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BMH2	YDR099W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bmh2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RVS167	YDR388W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rvs167-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PUF6	YDR496C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: puf6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SPF1	YEL031W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
IOC3	YFR013W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ioc3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DST1	YGL043W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: dst1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NUT1	YGL151W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nut1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SRB2	YHR041C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: srb2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ARP1	YHR129C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: arp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
REC104	YHR157W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rec104-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
INP51	YIL002C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: inp51-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
AGE2	YIL044C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: age2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SGN1	YIR001C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sgn1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LSM1	YJL124C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: lsm1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MNN11	YJL183W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mnn11-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CAP1	YKL007W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cap1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PAN3	YKL025C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pan3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NUP100	YKL068W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nup100-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SPA2	YLL021W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spa2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ARC18	YLR370C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: arc18-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLA1	YBL007C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sla1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
EDE1	YBL047C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ede1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBP14	YBR058C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ubp14-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RDH54	YBR073W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rdh54-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SWC5	YBR231C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: swc5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ERG5	YMR015C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: erg5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RCO1	YMR075W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rco1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TOF1	YNL273W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tof1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
VPS27	YNR006W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps27-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TOP1	YOL006C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: top1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TLG2	YOL018C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tlg2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
WHI2	YOR043W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: whi2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GYP1	YOR070C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gyp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
VAM3	YOR106W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vam3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
INP53	YOR109W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: inp53-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RAD1	YPL022W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rad1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SRO7	YPR032W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sro7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
